% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	6743.07	0
0.081	1	1	1	2190.56	0
0.121	1	1	1	760.947	0
0.161	1	1	1	3899.18	0
0.201	1	1	1	15836.2	0
0.241	1	1	1	1933.44	0
0.281	1	1	1	11321.3	0
0.321	1	1	1	9025.89	0
0.361	1	1	1	3725.33	0
0.401	1	1	1	5120.13	0
0.441	1	1	1	3040.51	0
0.481	1	1	1	7778.4	0
0.521	1	1	1	8327.23	0
0.561	1	1	1	3660.32	0
0.601	1	1	1	8672.82	0
0.641	1	1	1	12833.4	0
0.681	1	1	1	2807.6	0
0.721	1	1	1	948.922	0
0.761	1	1	1	1249.95	0
0.801	1	1	1	2400.98	0
0.841	1	1	1	1074.33	0
0.881	1	1	1	1232.68	0
0.921	1	1	1	3320.39	0
0.961	1	1	1	2540.05	0
1.001	1	1	1	2484.54	0
1.041	1	1	1	8026.66	0
1.081	1	1	1	4655.78	0
1.121	1	1	1	7441.92	0
1.161	1	1	1	16760.5	0
1.201	1	1	1	16857.1	0
1.241	1	1	1	3270.92	0
1.281	1	1	1	2922.66	0
1.321	1	1	1	780.078	0
1.361	1	1	1	3714.6	0
1.401	1	1	1	19040.7	0
1.441	1	1	1	10361.1	0
1.481	1	1	1	9199.57	0
1.521	1	1	1	2153.01	0
1.561	1	1	1	4707.65	0
1.601	1	1	1	9241.07	0
1.641	1	1	1	15247.6	0
1.681	1	1	1	24553.8	0
1.721	1	1	1	4888.56	0
1.761	1	1	1	5440.03	0
1.801	1	1	1	15311.6	0
1.841	1	1	1	3913.26	0
1.881	1	1	1	6617.67	0
1.921	1	1	1	4655.71	0
1.961	1	1	1	2418.85	0
2.001	1	1	1	2350.81	0
2.041	1	1	1	1984.17	0
2.081	1	1	1	1270.13	0
2.121	1	1	1	1822.53	0
2.161	1	1	1	2920.63	0
2.201	1	1	1	6797.7	0
2.241	1	1	1	10076.3	0
2.281	1	1	1	3252.48	0
2.321	1	1	1	3823.04	0
2.361	1	1	1	9314.58	0
2.401	1	1	1	8806.41	0
2.441	1	1	1	6354.29	0
2.481	1	1	1	6498.72	0
2.521	1	1	1	1974.56	0
2.561	1	1	1	5571.32	0
2.601	1	1	1	9121.69	0
2.641	1	1	1	5731.93	0
2.681	1	1	1	6002.48	0
2.721	1	1	1	7331.24	0
2.761	1	1	1	2380.49	0
2.801	1	1	1	2724.76	0
2.841	1	1	1	2381.82	0
2.881	1	1	1	1973.25	0
2.921	1	1	1	3373.26	0
2.961	1	1	1	1924.71	0
3.001	1	1	1	7912.41	0
3.041	1	1	1	8311.87	0
3.081	1	1	1	2079.1	0
3.121	1	1	1	3825.47	0
3.161	1	1	1	3399.88	0
3.201	1	1	1	3676.08	0
3.241	1	1	1	8120.81	0
3.281	1	1	1	5257	0
3.321	1	1	1	4653.14	0
3.361	1	1	1	6146.92	0
3.401	1	1	1	4154.92	0
3.441	1	1	1	2127.77	0
3.481	1	1	1	2495.84	0
3.521	1	1	1	11309.1	0
3.561	1	1	1	4982.2	0
3.601	1	1	1	9140.3	0
3.641	1	1	1	6171.35	0
3.681	1	1	1	3845.41	0
3.721	1	1	1	8208.14	0
3.761	1	1	1	7167.64	0
3.801	1	1	1	4964.5	0
3.841	1	1	1	5015.83	0
3.881	1	1	1	2332.88	0
3.921	1	1	1	3054.83	0
3.961	1	1	1	6424.27	0
4.001	1	1	1	3016.82	0
4.041	1	1	1	4413.61	0
4.081	1	1	1	3318.43	0
4.121	1	1	1	5584.4	0
4.161	1	1	1	5996.29	0
4.201	1	1	1	4769.65	0
4.241	1	1	1	3795.9	0
4.281	1	1	1	3548.93	0
4.321	1	1	1	9584.28	0
4.361	1	1	1	4285.66	0
4.401	1	1	1	2105.1	0
4.441	1	1	1	4894.83	0
4.481	1	1	1	2660.42	0
4.521	1	1	1	14798.5	0
4.561	1	1	1	4810.3	0
4.601	1	1	1	2735.26	0
4.641	1	1	1	3084.93	0
4.681	1	1	1	2884.76	0
4.721	1	1	1	4506.91	0
4.761	1	1	1	3988.18	0
4.801	1	1	1	7615.13	0
4.841	1	1	1	4831.9	0
4.881	1	1	1	2764.11	0
4.921	1	1	1	5353.09	0
4.961	1	1	1	1340.99	0
5.001	1	1	1	7711.51	0
5.041	1	1	1	12500.5	0
5.081	1	1	1	8500.85	0
5.121	1	1	1	6777.78	0
5.161	1	1	1	2344.59	0
5.201	1	1	1	1358.27	0
5.241	1	1	1	1213.28	0
5.281	1	1	1	2185.95	0
5.321	1	1	1	7736.89	0
5.361	1	1	1	7497.9	0
5.401	1	1	1	3513.29	0
5.441	1	1	1	3535.53	0
5.481	1	1	1	1869.87	0
5.521	1	1	1	3188.33	0
5.561	1	1	1	7195.24	0
5.601	1	1	1	4764.62	0
5.641	1	1	1	12873.8	0
5.681	1	1	1	14713.6	0
5.721	1	1	1	4715.81	0
5.761	1	1	1	7768.29	0
5.801	1	1	1	16736.7	0
5.841	1	1	1	9077.27	0
5.881	1	1	1	10525	0
5.921	1	1	1	23158.9	0
5.961	1	1	1	13346.2	0
6.001	1	1	1	4171.85	0
6.041	1	1	1	1549.11	0
6.081	1	1	1	1781.79	0
6.121	1	1	1	3262.69	0
6.161	1	1	1	6236.61	0
6.201	1	1	1	5277.47	0
6.241	1	1	1	2559.57	0
6.281	1	1	1	6595.53	0
6.321	1	1	1	3320.61	0
6.361	1	1	1	3964.78	0
6.401	1	1	1	1922.37	0
6.441	1	1	1	1839.45	0
6.481	1	1	1	7190.58	0
6.521	1	1	1	6337.47	0
6.561	1	1	1	4325.83	0
6.601	1	1	1	5643.99	0
6.641	1	1	1	3362.75	0
6.681	1	1	1	2529.82	0
6.721	1	1	1	7109.29	0
6.761	1	1	1	2187.81	0
6.801	1	1	1	1581.03	0
6.841	1	1	1	2614.74	0
