% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
38	1	1	1	0	28	2196	0	1	0
47	1	1	1	0	28	2196	0	1	0
57	1	1	1	0	28	2196	0	1	0
80	1	1	1	0	28	2196	0	1	0
86	1	1	1	0	28	2196	0	1	0
96	1	1	1	0	28	2196	0	1	0
114	1	1	1	0	28	2196	0	1	0
169	1	1	1	0	28	2196	0	1	0
192	1	1	1	0	28	2196	0	1	0
203	1	1	1	0	28	2196	0	1	0
215	1	1	1	0	28	2196	0	1	0
234	1	1	1	0	28	2196	0	1	0
251	1	1	1	0	28	2196	0	1	0
294	1	1	1	0	28	2196	0	1	0
350	1	1	1	0	28	2196	0	1	0
359	1	1	1	0	28	2196	0	1	0
372	1	1	1	0	28	2196	0	1	0
389	1	1	1	0	28	2196	0	1	0
398	1	1	1	0	28	2196	0	1	0
418	1	1	1	0	28	2196	0	1	0
458	1	1	1	0	28	2196	0	1	0
465	1	1	1	0	28	2196	0	1	0
474	1	1	1	0	28	2196	0	1	0
503	1	1	1	0	28	2196	0	1	0
516	1	1	1	0	28	2196	0	1	0
531	1	1	1	0	28	2196	0	1	0
564	1	1	1	0	28	2196	0	1	0
581	1	1	1	0	28	2196	0	1	0
589	1	1	1	0	28	2196	0	1	0
599	1	1	1	0	28	2196	0	1	0
630	1	1	1	0	28	2196	0	1	0
647	1	1	1	0	28	2196	0	1	0
667	1	1	1	0	28	2196	0	1	0
695	1	1	1	0	28	2196	0	1	0
717	1	1	1	0	28	2196	0	1	0
727	1	1	1	0	28	2196	0	1	0
752	1	1	1	0	28	2196	0	1	0
775	1	1	1	0	28	2196	0	1	0
804	1	1	1	0	28	2196	0	1	0
824	1	1	1	0	28	2196	0	1	0
843	1	1	1	0	28	2196	0	1	0
863	1	1	1	0	28	2196	0	1	0
881	1	1	1	0	28	2196	0	1	0
890	1	1	1	0	28	2196	0	1	0
937	1	1	1	0	28	2196	0	1	0
942	1	1	1	0	28	2196	0	1	0
996	1	1	1	0	28	2196	0	1	0
1031	1	1	1	0	28	2196	0	1	0
1056	1	1	1	0	28	2196	0	1	0
1090	1	1	1	0	28	2196	0	1	0
1129	1	1	1	0	28	2196	0	1	0
1133	1	1	1	0	28	2196	0	1	0
1212	1	1	1	0	28	2196	0	1	0
1273	1	1	1	0	28	2196	0	1	0
1292	1	1	1	0	28	2196	0	1	0
1313	1	1	1	0	28	2196	0	1	0
1324	1	1	1	0	28	2196	0	1	0
1352	1	1	1	0	28	2196	0	1	0
1394	1	1	1	0	28	2196	0	1	0
1420	1	1	1	0	28	2196	0	1	0
1431	1	1	1	0	28	2196	0	1	0
1466	1	1	1	0	28	2196	0	1	0
1483	1	1	1	0	28	2196	0	1	0
1512	1	1	1	0	28	2196	0	1	0
1522	1	1	1	0	28	2196	0	1	0
1561	1	1	1	0	28	2196	0	1	0
1577	1	1	1	0	28	2196	0	1	0
1592	1	1	1	0	28	2196	0	1	0
1613	1	1	1	0	28	2196	0	1	0
1630	1	1	1	0	28	2196	0	1	0
1644	1	1	1	0	28	2196	0	1	0
1664	1	1	1	0	28	2196	0	1	0
1682	1	1	1	0	28	2196	0	1	0
1688	1	1	1	0	28	2196	0	1	0
1706	1	1	1	0	28	2196	0	1	0
1721	1	1	1	0	28	2196	0	1	0
1748	1	1	1	0	28	2196	0	1	0
1761	1	1	1	0	28	2196	0	1	0
1768	1	1	1	0	28	2196	0	1	0
1775	1	1	1	0	28	2196	0	1	0
1819	1	1	1	0	28	2196	0	1	0
1858	1	1	1	0	28	2196	0	1	0
1879	1	1	1	0	28	2196	0	1	0
1886	1	1	1	0	28	2196	0	1	0
1898	1	1	1	0	28	2196	0	1	0
1947	1	1	1	0	28	2196	0	1	0
1981	1	1	1	0	28	2196	0	1	0
2004	1	1	1	0	28	2196	0	1	0
2015	1	1	1	0	28	2196	0	1	0
2028	1	1	1	0	28	2196	0	1	0
2033	1	1	1	0	28	2196	0	1	0
2073	1	1	1	0	28	2196	0	1	0
2098	1	1	1	0	28	2196	0	1	0
2104	1	1	1	0	28	2196	0	1	0
2140	1	1	1	0	28	2196	0	1	0
2149	1	1	1	0	28	2196	0	1	0
2168	1	1	1	0	28	2196	0	1	0
2194	1	1	1	0	28	2196	0	1	0
2228	1	1	1	0	28	2196	0	1	0
2240	1	1	1	0	28	2196	0	1	0
2288	1	1	1	0	28	2196	0	1	0
2298	1	1	1	0	28	2196	0	1	0
2317	1	1	1	0	28	2196	0	1	0
2342	1	1	1	0	28	2196	0	1	0
2380	1	1	1	0	28	2196	0	1	0
2393	1	1	1	0	28	2196	0	1	0
2414	1	1	1	0	28	2196	0	1	0
2436	1	1	1	0	28	2196	0	1	0
2449	1	1	1	0	28	2196	0	1	0
2471	1	1	1	0	28	2196	0	1	0
2480	1	1	1	0	28	2196	0	1	0
2536	1	1	1	0	28	2196	0	1	0
2564	1	1	1	0	28	2196	0	1	0
2571	1	1	1	0	28	2196	0	1	0
2592	1	1	1	0	28	2196	0	1	0
2604	1	1	1	0	28	2196	0	1	0
2612	1	1	1	0	28	2196	0	1	0
2640	1	1	1	0	28	2196	0	1	0
2666	1	1	1	0	28	2196	0	1	0
2683	1	1	1	0	28	2196	0	1	0
2704	1	1	1	0	28	2196	0	1	0
2719	1	1	1	0	28	2196	0	1	0
2743	1	1	1	0	28	2196	0	1	0
2754	1	1	1	0	28	2196	0	1	0
2782	1	1	1	0	28	2196	0	1	0
2811	1	1	1	0	28	2196	0	1	0
2820	1	1	1	0	28	2196	0	1	0
2847	1	1	1	0	28	2196	0	1	0
2861	1	1	1	0	28	2196	0	1	0
2877	1	1	1	0	28	2196	0	1	0
2893	1	1	1	0	28	2196	0	1	0
2907	1	1	1	0	28	2196	0	1	0
2936	1	1	1	0	28	2196	0	1	0
2939	1	1	1	0	28	2196	0	1	0
2957	1	1	1	0	28	2196	0	1	0
2974	1	1	1	0	28	2196	0	1	0
3001	1	1	1	0	28	2196	0	1	0
3011	1	1	1	0	28	2196	0	1	0
3035	1	1	1	0	28	2196	0	1	0
3051	1	1	1	0	28	2196	0	1	0
3057	1	1	1	0	28	2196	0	1	0
3067	1	1	1	0	28	2196	0	1	0
3072	1	1	1	0	28	2196	0	1	0
3096	1	1	1	0	28	2196	0	1	0
3107	1	1	1	0	28	2196	0	1	0
3126	1	1	1	0	28	2196	0	1	0
3137	1	1	1	0	28	2196	0	1	0
3152	1	1	1	0	28	2196	0	1	0
3167	1	1	1	0	28	2196	0	1	0
3204	1	1	1	0	28	2196	0	1	0
3215	1	1	1	0	28	2196	0	1	0
3244	1	1	1	0	28	2196	0	1	0
3263	1	1	1	0	28	2196	0	1	0
3266	1	1	1	0	28	2196	0	1	0
3286	1	1	1	0	28	2196	0	1	0
3300	1	1	1	0	28	2196	0	1	0
3306	1	1	1	0	28	2196	0	1	0
3311	1	1	1	0	28	2196	0	1	0
3328	1	1	1	0	28	2196	0	1	0
3354	1	1	1	0	28	2196	0	1	0
3366	1	1	1	0	28	2196	0	1	0
3422	1	1	1	0	28	2196	0	1	0
3446	1	1	1	0	28	2196	0	1	0
3461	1	1	1	0	28	2196	0	1	0
3528	1	1	1	0	28	2196	0	1	0
3540	1	1	1	0	28	2196	0	1	0
3554	1	1	1	0	28	2196	0	1	0
3570	1	1	1	0	28	2196	0	1	0
3582	1	1	1	0	28	2196	0	1	0
3608	1	1	1	0	28	2196	0	1	0
3627	1	1	1	0	28	2196	0	1	0
3667	1	1	1	0	28	2196	0	1	0
3700	1	1	1	0	28	2196	0	1	0
3744	1	1	1	0	28	2196	0	1	0
3775	1	1	1	0	28	2196	0	1	0
3786	1	1	1	0	28	2196	0	1	0
3802	1	1	1	0	28	2196	0	1	0
3848	1	1	1	0	28	2196	0	1	0
3909	1	1	1	0	28	2196	0	1	0
3928	1	1	1	0	28	2196	0	1	0
3932	1	1	1	0	28	2196	0	1	0
3957	1	1	1	0	28	2196	0	1	0
3993	1	1	1	0	28	2196	0	1	0
4006	1	1	1	0	28	2196	0	1	0
4038	1	1	1	0	28	2196	0	1	0
4070	1	1	1	0	28	2196	0	1	0
4086	1	1	1	0	28	2196	0	1	0
4111	1	1	1	0	28	2196	0	1	0
4131	1	1	1	0	28	2196	0	1	0
4148	1	1	1	0	28	2196	0	1	0
4154	1	1	1	0	28	2196	0	1	0
4181	1	1	1	0	28	2196	0	1	0
4196	1	1	1	0	28	2196	0	1	0
4227	1	1	1	0	28	2196	0	1	0
4252	1	1	1	0	28	2196	0	1	0
4290	1	1	1	0	28	2196	0	1	0
4328	1	1	1	0	28	2196	0	1	0
4343	1	1	1	0	28	2196	0	1	0
4350	1	1	1	0	28	2196	0	1	0
4363	1	1	1	0	28	2196	0	1	0
4398	1	1	1	0	28	2196	0	1	0
4416	1	1	1	0	28	2196	0	1	0
4435	1	1	1	0	28	2196	0	1	0
4462	1	1	1	0	28	2196	0	1	0
4504	1	1	1	0	28	2196	0	1	0
4516	1	1	1	0	28	2196	0	1	0
4523	1	1	1	0	28	2196	0	1	0
4536	1	1	1	0	28	2196	0	1	0
4565	1	1	1	0	28	2196	0	1	0
4583	1	1	1	0	28	2196	0	1	0
4600	1	1	1	0	28	2196	0	1	0
4616	1	1	1	0	28	2196	0	1	0
4622	1	1	1	0	28	2196	0	1	0
4630	1	1	1	0	28	2196	0	1	0
4642	1	1	1	0	28	2196	0	1	0
4654	1	1	1	0	28	2196	0	1	0
4685	1	1	1	0	28	2196	0	1	0
4701	1	1	1	0	28	2196	0	1	0
4745	1	1	1	0	28	2196	0	1	0
4778	1	1	1	0	28	2196	0	1	0
4794	1	1	1	0	28	2196	0	1	0
4862	1	1	1	0	28	2196	0	1	0
4885	1	1	1	0	28	2196	0	1	0
4897	1	1	1	0	28	2196	0	1	0
4904	1	1	1	0	28	2196	0	1	0
4930	1	1	1	0	28	2196	0	1	0
4946	1	1	1	0	28	2196	0	1	0
4953	1	1	1	0	28	2196	0	1	0
4968	1	1	1	0	28	2196	0	1	0
4996	1	1	1	0	28	2196	0	1	0
5020	1	1	1	0	28	2196	0	1	0
5038	1	1	1	0	28	2196	0	1	0
5097	1	1	1	0	28	2196	0	1	0
5108	1	1	1	0	28	2196	0	1	0
5115	1	1	1	0	28	2196	0	1	0
5202	1	1	1	0	28	2196	0	1	0
5220	1	1	1	0	28	2196	0	1	0
5230	1	1	1	0	28	2196	0	1	0
5251	1	1	1	0	28	2196	0	1	0
5265	1	1	1	0	28	2196	0	1	0
5274	1	1	1	0	28	2196	0	1	0
5283	1	1	1	0	28	2196	0	1	0
5297	1	1	1	0	28	2196	0	1	0
5328	1	1	1	0	28	2196	0	1	0
5341	1	1	1	0	28	2196	0	1	0
5372	1	1	1	0	28	2196	0	1	0
5423	1	1	1	0	28	2196	0	1	0
5447	1	1	1	0	28	2196	0	1	0
5453	1	1	1	0	28	2196	0	1	0
5483	1	1	1	0	28	2196	0	1	0
5522	1	1	1	0	28	2196	0	1	0
5567	1	1	1	0	28	2196	0	1	0
5618	1	1	1	0	28	2196	0	1	0
5630	1	1	1	0	28	2196	0	1	0
5645	1	1	1	0	28	2196	0	1	0
5662	1	1	1	0	28	2196	0	1	0
5706	1	1	1	0	28	2196	0	1	0
5732	1	1	1	0	28	2196	0	1	0
5771	1	1	1	0	28	2196	0	1	0
5812	1	1	1	0	28	2196	0	1	0
5849	1	1	1	0	28	2196	0	1	0
5865	1	1	1	0	28	2196	0	1	0
5910	1	1	1	0	28	2196	0	1	0
5928	1	1	1	0	28	2196	0	1	0
5967	1	1	1	0	28	2196	0	1	0
6015	1	1	1	0	28	2196	0	1	0
6028	1	1	1	0	28	2196	0	1	0
6040	1	1	1	0	28	2196	0	1	0
6079	1	1	1	0	28	2196	0	1	0
6086	1	1	1	0	28	2196	0	1	0
6106	1	1	1	0	28	2196	0	1	0
6125	1	1	1	0	28	2196	0	1	0
6144	1	1	1	0	28	2196	0	1	0
6174	1	1	1	0	28	2196	0	1	0
6194	1	1	1	0	28	2196	0	1	0
6211	1	1	1	0	28	2196	0	1	0
6250	1	1	1	0	28	2196	0	1	0
6258	1	1	1	0	28	2196	0	1	0
6288	1	1	1	0	28	2196	0	1	0
6308	1	1	1	0	28	2196	0	1	0
6332	1	1	1	0	28	2196	0	1	0
6363	1	1	1	0	28	2196	0	1	0
6378	1	1	1	0	28	2196	0	1	0
6393	1	1	1	0	28	2196	0	1	0
6397	1	1	1	0	28	2196	0	1	0
6405	1	1	1	0	28	2196	0	1	0
6426	1	1	1	0	28	2196	0	1	0
6446	1	1	1	0	28	2196	0	1	0
6452	1	1	1	0	28	2196	0	1	0
6461	1	1	1	0	28	2196	0	1	0
6489	1	1	1	0	28	2196	0	1	0
6513	1	1	1	0	28	2196	0	1	0
6543	1	1	1	0	28	2196	0	1	0
6584	1	1	1	0	28	2196	0	1	0
6592	1	1	1	0	28	2196	0	1	0
6624	1	1	1	0	28	2196	0	1	0
6635	1	1	1	0	28	2196	0	1	0
6660	1	1	1	0	28	2196	0	1	0
6683	1	1	1	0	28	2196	0	1	0
6693	1	1	1	0	28	2196	0	1	0
6730	1	1	1	0	28	2196	0	1	0
6734	1	1	1	0	28	2196	0	1	0
6766	1	1	1	0	28	2196	0	1	0
6792	1	1	1	0	28	2196	0	1	0
6800	1	1	1	0	28	2196	0	1	0
6807	1	1	1	0	28	2196	0	1	0
6825	1	1	1	0	28	2196	0	1	0
6838	1	1	1	0	28	2196	0	1	0
6868	1	1	1	0	28	2196	0	1	0
6879	1	1	1	0	28	2196	0	1	0
6896	1	1	1	0	28	2196	0	1	0
6899	1	1	1	0	28	2196	0	1	0
6932	1	1	1	0	28	2196	0	1	0
6939	1	1	1	0	28	2196	0	1	0
6946	1	1	1	0	28	2196	0	1	0
7003	1	1	1	0	28	2196	0	1	0
7019	1	1	1	0	28	2196	0	1	0
7041	1	1	1	0	28	2196	0	1	0
7061	1	1	1	0	28	2196	0	1	0
7084	1	1	1	0	28	2196	0	1	0
7086	1	1	1	0	28	2196	0	1	0
7096	1	1	1	0	28	2196	0	1	0
7109	1	1	1	0	28	2196	0	1	0
7132	1	1	1	0	28	2196	0	1	0
7148	1	1	1	0	28	2196	0	1	0
7158	1	1	1	0	28	2196	0	1	0
7168	1	1	1	0	28	2196	0	1	0
7183	1	1	1	0	28	2196	0	1	0
7200	1	1	1	0	28	2196	0	1	0
7211	1	1	1	0	28	2196	0	1	0
7252	1	1	1	0	28	2196	0	1	0
7280	1	1	1	0	28	2196	0	1	0
7303	1	1	1	0	28	2196	0	1	0
7310	1	1	1	0	28	2196	0	1	0
7338	1	1	1	0	28	2196	0	1	0
7363	1	1	1	0	28	2196	0	1	0
7383	1	1	1	0	28	2196	0	1	0
7392	1	1	1	0	28	2196	0	1	0
7427	1	1	1	0	28	2196	0	1	0
7455	1	1	1	0	28	2196	0	1	0
