% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
1.523	1	1	3	3436.72	0
1.524	1	2	4	2427.97	0
1.526	1	4	6	3019.7	0
1.561	1	5	1	3390.38	0
1.562	1	3	2	6231.31	0
1.563	1	1	3	3447.29	0
1.564	1	2	4	2598.59	0
1.566	1	4	6	12831.1	0
1.601	1	5	1	1577.71	0
1.602	1	3	2	1489.18	0
1.603	1	1	3	2049.54	0
1.604	1	2	4	1309.57	0
1.606	1	4	6	3266.94	0
1.641	1	5	1	4123.69	0
1.642	1	3	2	3023.61	0
1.643	1	1	3	3137.02	0
1.644	1	2	4	4296.28	0
1.646	1	4	6	2538.79	0
1.681	1	5	1	6911.64	0
1.682	1	3	2	5687.33	0
1.683	1	1	3	3102.02	0
1.684	1	2	4	2108.67	0
1.686	1	4	6	4183.48	0
1.721	1	5	1	6574.9	0
1.722	1	3	2	4623.72	0
1.723	1	1	3	9156.85	0
1.724	1	2	4	1344.62	0
1.726	1	4	6	2640.49	0
1.761	1	5	1	5870.01	0
1.762	1	3	2	8434.7	0
1.763	1	1	3	8859.21	0
1.764	1	2	4	3256.11	0
1.766	1	4	6	3293.06	0
1.801	1	5	1	5665.04	0
1.802	1	3	2	9729.7	0
1.803	1	1	3	4054.51	0
1.804	1	2	4	1321.69	0
1.806	1	4	6	3986.08	0
1.841	1	5	1	5883.21	0
1.842	1	3	2	3684.59	0
1.843	1	1	3	2637.52	0
1.844	1	2	4	1977.3	0
1.846	1	4	6	5624.5	0
1.881	1	5	1	5246.49	0
1.882	1	3	2	6270.12	0
1.883	1	1	3	2487.31	0
1.884	1	2	4	663.009	0
1.886	1	4	6	1231.16	0
1.921	1	5	1	6953.52	0
1.922	1	3	2	10709.6	0
1.923	1	1	3	4146.03	0
1.924	1	2	4	2681.08	0
1.926	1	4	6	905.406	0
1.961	1	5	1	6554.47	0
1.962	1	3	2	6139.43	0
1.963	1	1	3	3574.47	0
1.964	1	2	4	5487.38	0
1.966	1	4	6	13888.9	0
2.001	1	5	1	27184.1	0
2.002	1	3	2	4812.23	0
2.003	1	1	3	7209.84	0
2.004	1	2	4	1461.81	0
2.006	1	4	6	7284.76	0
2.041	1	5	1	5737.12	0
2.042	1	3	2	3021.59	0
2.043	1	1	3	15843.4	0
2.044	1	2	4	736.456	0
2.046	1	4	6	7034.77	0
2.081	1	5	1	2407.91	0
2.082	1	3	2	1036.66	0
2.083	1	1	3	10812.5	0
2.084	1	2	4	904.323	0
2.086	1	4	6	6490.24	0
2.121	1	5	1	8386.45	0
2.122	1	3	2	3543.61	0
2.123	1	1	3	1636.54	0
2.124	1	2	4	1377.84	0
2.126	1	4	6	5870.02	0
2.161	1	5	1	2668.23	0
2.162	1	3	2	17304.2	0
2.163	1	1	3	11157.4	0
2.164	1	2	4	819.636	0
2.166	1	4	6	2291.15	0
2.201	1	5	1	2374.36	0
2.202	1	3	2	2204.94	0
2.203	1	1	3	8767.03	0
2.204	1	2	4	1870.67	0
2.206	1	4	6	1074.45	0
2.241	1	5	1	1277.89	0
2.242	1	3	2	2398.39	0
2.243	1	1	3	10519.5	0
2.244	1	2	4	1495.6	0
2.246	1	4	6	2911.97	0
2.281	1	5	1	6567.5	0
2.282	1	3	2	8456.79	0
2.283	1	1	3	9852.79	0
2.284	1	2	4	2399.4	0
2.286	1	4	6	5228.38	0
2.321	1	5	1	34381.8	0
2.322	1	3	2	5377.7	0
2.323	1	1	3	6568.69	0
2.324	1	2	4	2985.91	0
2.326	1	4	6	12530.4	0
2.361	1	5	1	3586.78	0
2.362	1	3	2	1752.48	0
2.363	1	1	3	14782.2	0
2.364	1	2	4	1382.54	0
2.366	1	4	6	4081.58	0
2.401	1	5	1	5618.78	0
2.402	1	3	2	2301.82	0
2.403	1	1	3	8821.23	0
2.404	1	2	4	4938.05	0
2.406	1	4	6	3953.4	0
2.441	1	5	1	12146.5	0
2.442	1	3	2	4999.2	0
2.443	1	1	3	6696.43	0
2.444	1	2	4	4405.42	0
2.446	1	4	6	9259.46	0
2.481	1	5	1	4037.14	0
2.482	1	3	2	4438.26	0
2.483	1	1	3	2337.27	0
2.484	1	2	4	1460.41	0
2.486	1	4	6	4657.33	0
2.521	1	5	1	4599.83	0
2.522	1	3	2	2134.31	0
2.523	1	1	3	2474.39	0
2.524	1	2	4	2299.13	0
2.526	1	4	6	5219.46	0
2.561	1	5	1	8554	0
2.562	1	3	2	2723.97	0
2.563	1	1	3	1785.15	0
2.564	1	2	4	839.732	0
2.566	1	4	6	9787.41	0
2.601	1	5	1	6459.14	0
2.602	1	3	2	6695.83	0
2.603	1	1	3	2987.24	0
2.604	1	2	4	887.23	0
2.606	1	4	6	5903.06	0
2.641	1	5	1	7489.21	0
2.642	1	3	2	7586.93	0
2.643	1	1	3	1734.06	0
2.644	1	2	4	2360.72	0
2.646	1	4	6	4577.44	0
2.681	1	5	1	3722.52	0
2.682	1	3	2	10479.4	0
2.683	1	1	3	1892.02	0
2.684	1	2	4	2384.16	0
2.686	1	4	6	2409.33	0
2.721	1	5	1	3116.88	0
2.722	1	3	2	2647.06	0
2.723	1	1	3	2589.82	0
2.724	1	2	4	1404.37	0
2.726	1	4	6	2536.02	0
2.761	1	5	1	4824.79	0
2.762	1	3	2	788.349	0
2.763	1	1	3	1102.21	0
2.764	1	2	4	1634.94	0
2.766	1	4	6	3139.57	0
2.801	1	5	1	1427.4	0
2.802	1	3	2	6109.38	0
2.803	1	1	3	1056.38	0
2.804	1	2	4	950.671	0
2.806	1	4	6	1413.03	0
2.841	1	5	1	4080.01	0
2.842	1	3	2	6369.32	0
2.843	1	1	3	1234.93	0
2.844	1	2	4	952.927	0
2.846	1	4	6	1540.46	0
2.881	1	5	1	3315.39	0
2.882	1	3	2	4130.99	0
2.883	1	1	3	8493	0
2.884	1	2	4	1956.2	0
2.886	1	4	6	4527.08	0
2.921	1	5	1	1741.47	0
2.922	1	3	2	18235.1	0
2.923	1	1	3	21483.1	0
2.924	1	2	4	1166.36	0
2.926	1	4	6	5192.51	0
2.961	1	5	1	2914.53	0
2.962	1	3	2	12824.3	0
2.963	1	1	3	4042.76	0
2.964	1	2	4	767.044	0
2.966	1	4	6	7851.68	0
3.001	1	5	1	980.023	0
3.002	1	3	2	27566.3	0
3.003	1	1	3	6110.8	0
3.004	1	2	4	846.142	0
3.006	1	4	6	4183.11	0
3.041	1	5	1	2271.02	0
3.042	1	3	2	23796.1	0
3.043	1	1	3	5201.52	0
3.044	1	2	4	1215.19	0
3.046	1	4	6	13258.2	0
3.081	1	5	1	4545.04	0
3.082	1	3	2	5297.89	0
3.083	1	1	3	10785.3	0
3.084	1	2	4	1977.94	0
3.086	1	4	6	10726.7	0
3.121	1	5	1	1312.14	0
3.122	1	3	2	5201.95	0
3.123	1	1	3	7966.11	0
3.124	1	2	4	2330.91	0
3.126	1	4	6	19174	0
3.161	1	5	1	2682.41	0
3.162	1	3	2	1860.61	0
3.163	1	1	3	11817.4	0
3.164	1	2	4	3218.79	0
3.166	1	4	6	7495.61	0
3.201	1	5	1	5943.95	0
3.202	1	3	2	9301.18	0
3.203	1	1	3	5816.58	0
3.204	1	2	4	3360.1	0
3.206	1	4	6	7412.54	0
3.241	1	5	1	6283.27	0
3.242	1	3	2	6023.39	0
3.243	1	1	3	4867.1	0
3.244	1	2	4	1013.73	0
3.246	1	4	6	10986.8	0
3.281	1	5	1	6542.12	0
3.282	1	3	2	415.18	0
3.283	1	1	3	15179.3	0
3.284	1	2	4	1027.66	0
3.286	1	4	6	2225.79	0
3.321	1	5	1	4644.36	0
3.322	1	3	2	6110.62	0
3.323	1	1	3	8584.89	0
3.324	1	2	4	2410.24	0
3.326	1	4	6	1700.98	0
3.361	1	5	1	10012.2	0
3.362	1	3	2	18611.9	0
3.363	1	1	3	9035.95	0
3.364	1	2	4	1228.96	0
3.366	1	4	6	2355.25	0
3.401	1	5	1	13467.9	0
3.402	1	3	2	5130.21	0
3.403	1	1	3	1488.61	0
3.404	1	2	4	631.924	0
3.406	1	4	6	1838.72	0
3.441	1	5	1	3013.81	0
3.442	1	3	2	4165.72	0
3.443	1	1	3	618.51	0
3.444	1	2	4	1988.23	0
3.446	1	4	6	2172.87	0
