% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	5	1	66646	0
0.042	1	1	2	4370.59	0
0.043	1	3	3	3066.6	0
0.044	1	4	4	31337.7	0
0.045	1	2	5	112338	0
0.081	1	5	1	7375.71	0
0.082	1	1	2	11644.9	0
0.083	1	3	3	3220.1	0
0.084	1	4	4	22336.1	0
0.085	1	2	5	146235	0
0.121	1	5	1	31844.2	0
0.122	1	1	2	4392.27	0
0.123	1	3	3	6723.55	0
0.124	1	4	4	47009	0
0.125	1	2	5	174443	0
0.161	1	5	1	16161.5	0
0.162	1	1	2	2395.39	0
0.163	1	3	3	7590.65	0
0.164	1	4	4	39109.6	0
0.165	1	2	5	124836	0
0.201	1	5	1	7346.21	0
0.202	1	1	2	1645.42	0
0.203	1	3	3	3183.39	0
0.204	1	4	4	23638.9	0
0.205	1	2	5	34320.2	0
0.241	1	5	1	20225.3	0
0.242	1	1	2	5050.14	0
0.243	1	3	3	7324.31	0
0.244	1	4	4	14762.1	0
0.245	1	2	5	89355	0
0.281	1	5	1	18001.4	0
0.282	1	1	2	4852.38	0
0.283	1	3	3	8154.01	0
0.284	1	4	4	5507.99	0
0.285	1	2	5	47884.8	0
0.321	1	5	1	29366.3	0
0.322	1	1	2	3023.59	0
0.323	1	3	3	5480.57	0
0.324	1	4	4	17254.4	0
0.325	1	2	5	20973.4	0
0.361	1	5	1	18282.2	0
0.362	1	1	2	20926.9	0
0.363	1	3	3	7280.77	0
0.364	1	4	4	19958.4	0
0.365	1	2	5	34367.8	0
0.401	1	5	1	9981.36	0
0.402	1	1	2	6699.1	0
0.403	1	3	3	5142.91	0
0.404	1	4	4	24392.6	0
0.405	1	2	5	41067.4	0
0.441	1	5	1	14835.7	0
0.442	1	1	2	9977.71	0
0.443	1	3	3	2413.71	0
0.444	1	4	4	39621.2	0
0.445	1	2	5	76267.6	0
0.481	1	5	1	6200.16	0
0.482	1	1	2	22403.7	0
0.483	1	3	3	1756.3	0
0.484	1	4	4	28420	0
0.485	1	2	5	11548.1	0
0.521	1	5	1	22791	0
0.522	1	1	2	26123.2	0
0.523	1	3	3	5880.73	0
0.524	1	4	4	32020.9	0
0.525	1	2	5	33838	0
0.561	1	5	1	48891.2	0
0.562	1	1	2	25981.2	0
0.563	1	3	3	2745.88	0
0.564	1	4	4	26011.3	0
0.565	1	2	5	172144	0
0.601	1	5	1	51637	0
0.602	1	1	2	21941.7	0
0.603	1	3	3	1789.01	0
0.604	1	4	4	19029.5	0
0.605	1	2	5	86998.1	0
0.641	1	5	1	46437.1	0
0.642	1	1	2	4913.99	0
0.643	1	3	3	1989.68	0
0.644	1	4	4	50729.9	0
0.645	1	2	5	46814.4	0
0.681	1	5	1	67137.9	0
0.682	1	1	2	3808.81	0
0.683	1	3	3	1992.6	0
0.684	1	4	4	37049.5	0
0.685	1	2	5	76037.9	0
0.721	1	5	1	39814.5	0
0.722	1	1	2	2151.3	0
0.723	1	3	3	3124.08	0
0.724	1	4	4	17748.6	0
0.725	1	2	5	109148	0
0.761	1	5	1	19901.9	0
0.762	1	1	2	1919.02	0
0.763	1	3	3	4761.24	0
0.764	1	4	4	25286.3	0
0.765	1	2	5	37777.6	0
0.801	1	5	1	28668.8	0
0.802	1	1	2	8952.29	0
0.803	1	3	3	3054.94	0
0.804	1	4	4	12151.5	0
0.805	1	2	5	13629.2	0
0.841	1	5	1	12014.3	0
0.842	1	1	2	4050.98	0
0.843	1	3	3	2551.51	0
0.844	1	4	4	31744.1	0
0.845	1	2	5	50531.3	0
0.881	1	5	1	35708.7	0
0.882	1	1	2	2243.68	0
0.883	1	3	3	1412.77	0
0.884	1	4	4	50017.3	0
0.885	1	2	5	55098.1	0
0.921	1	5	1	37239.3	0
0.922	1	1	2	2914.54	0
0.923	1	3	3	839.007	0
0.924	1	4	4	32097.2	0
0.925	1	2	5	110660	0
0.961	1	5	1	13355.7	0
0.962	1	1	2	897.913	0
0.963	1	3	3	554.451	0
0.964	1	4	4	36094.8	0
0.965	1	2	5	89386.8	0
1.001	1	5	1	30657.8	0
1.002	1	1	2	4110.6	0
1.003	1	3	3	4791.84	0
1.004	1	4	4	9181.32	0
1.005	1	2	5	24304.9	0
1.041	1	5	1	11742.4	0
1.042	1	1	2	7695.33	0
1.043	1	3	3	5814.4	0
1.044	1	4	4	22949	0
1.045	1	2	5	64080.7	0
1.081	1	5	1	28058.4	0
1.082	1	1	2	11436.9	0
1.083	1	3	3	5757.07	0
1.084	1	4	4	48075.8	0
1.085	1	2	5	68674.3	0
1.121	1	5	1	25967	0
1.122	1	1	2	9521.99	0
1.123	1	3	3	3219.95	0
1.124	1	4	4	9458.11	0
1.125	1	2	5	93712.2	0
1.161	1	5	1	36638.1	0
1.162	1	1	2	3097.4	0
1.163	1	3	3	10091.2	0
1.164	1	4	4	21346.3	0
1.165	1	2	5	48094.4	0
1.201	1	5	1	100900	0
1.202	1	1	2	3945.73	0
1.203	1	3	3	4415.93	0
1.204	1	4	4	47842.4	0
1.205	1	2	5	15645.6	0
1.241	1	5	1	51202.2	0
1.242	1	1	2	9612.94	0
1.243	1	3	3	3436.34	0
1.244	1	4	4	46271.2	0
1.245	1	2	5	66848.5	0
1.281	1	5	1	8487.43	0
1.282	1	1	2	10777.1	0
1.283	1	3	3	7411.98	0
1.284	1	4	4	25410.4	0
1.285	1	2	5	45459.4	0
1.321	1	5	1	33670.3	0
1.322	1	1	2	3845.62	0
1.323	1	3	3	2970.2	0
1.324	1	4	4	8305.15	0
1.325	1	2	5	6739.68	0
1.361	1	5	1	11192.6	0
1.362	1	1	2	1777.92	0
1.363	1	3	3	4600.39	0
1.364	1	4	4	11004.2	0
1.365	1	2	5	58316.8	0
1.401	1	5	1	10893	0
1.402	1	1	2	3452.97	0
1.403	1	3	3	1389.3	0
1.404	1	4	4	18389.4	0
1.405	1	2	5	50210.2	0
1.441	1	5	1	17172.8	0
1.442	1	1	2	5037.53	0
1.443	1	3	3	6761.6	0
1.444	1	4	4	20433	0
1.445	1	2	5	18923.3	0
1.481	1	5	1	22055.7	0
1.482	1	1	2	2766.12	0
1.483	1	3	3	12535.6	0
1.484	1	4	4	12280.4	0
1.485	1	2	5	24283.6	0
1.521	1	5	1	15242.7	0
1.522	1	1	2	5457.88	0
1.523	1	3	3	5369.82	0
1.524	1	4	4	8222.44	0
1.525	1	2	5	54467	0
1.561	1	5	1	41371.3	0
1.562	1	1	2	2593.38	0
1.563	1	3	3	8993.67	0
1.564	1	4	4	10447.8	0
1.565	1	2	5	167517	0
1.601	1	5	1	17243.6	0
1.602	1	1	2	2646.84	0
1.603	1	3	3	5735.8	0
1.604	1	4	4	12973.8	0
1.605	1	2	5	50645.6	0
1.641	1	5	1	19599.6	0
1.642	1	1	2	4151.23	0
1.643	1	3	3	6787.05	0
1.644	1	4	4	14236.4	0
1.645	1	2	5	16703	0
1.681	1	5	1	9261.11	0
1.682	1	1	2	4528.24	0
1.683	1	3	3	6302.46	0
1.684	1	4	4	21426.3	0
1.685	1	2	5	5919.96	0
1.721	1	5	1	28094.3	0
1.722	1	1	2	7228.91	0
