% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.102214	1	1	1	3.68056e-12	7891.92	0
0.103214	1	1	1	3.71648e-12	7966.49	0
0.104214	1	1	1	3.75354e-12	8043.44	0
0.105214	1	1	1	3.79265e-12	8124.8	0
0.106214	1	1	1	3.83222e-12	8207	0
0.107214	1	1	1	3.87419e-12	8294.43	0
0.108214	1	1	1	3.91585e-12	8380.99	0
0.109214	1	1	1	3.96017e-12	8473.36	0
0.110214	1	1	1	4.00363e-12	8563.68	0
0.111214	1	1	1	4.04948e-12	8659.18	0
0.112214	1	1	1	4.09474e-12	8753.28	0
0.113214	1	1	1	4.14161e-12	8850.86	0
0.114214	1	1	1	4.1882e-12	8947.73	0
0.115214	1	1	1	4.23561e-12	9046.34	0
0.116214	1	1	1	4.28323e-12	9145.33	0
0.117214	1	1	1	4.33076e-12	9244.08	0
0.118214	1	1	1	4.37903e-12	9344.37	0
0.119214	1	1	1	4.42622e-12	9442.28	0
0.120214	1	1	1	4.47476e-12	9543.07	0
0.121214	1	1	1	4.52118e-12	9639.18	0
0.122214	1	1	1	4.56963e-12	9739.71	0
0.123214	1	1	1	4.61483e-12	9833.13	0
0.124214	1	1	1	4.66209e-12	9930.99	0
0.125214	1	1	1	4.70647e-12	10022.6	0
0.126214	1	1	1	4.75204e-12	10116.7	0
0.127214	1	1	1	4.7954e-12	10206.1	0
0.128214	1	1	1	4.83894e-12	10295.8	0
0.129214	1	1	1	4.88104e-12	10382.4	0
0.130214	1	1	1	4.92224e-12	10467.1	0
0.131214	1	1	1	4.96286e-12	10550.5	0
0.132214	1	1	1	5.00153e-12	10629.8	0
0.133214	1	1	1	5.04059e-12	10709.9	0
0.134214	1	1	1	5.0765e-12	10783.2	0
0.135214	1	1	1	5.11375e-12	10859.5	0
0.136214	1	1	1	5.14668e-12	10926.5	0
0.137214	1	1	1	5.18154e-12	10997.7	0
0.138214	1	1	1	5.21184e-12	11059.2	0
0.139214	1	1	1	5.2436e-12	11123.8	0
0.140214	1	1	1	5.27183e-12	11181	0
0.141214	1	1	1	5.30044e-12	11239	0
0.142214	1	1	1	5.32661e-12	11291.9	0
0.143214	1	1	1	5.35205e-12	11343.3	0
0.144214	1	1	1	5.37621e-12	11392	0
0.145214	1	1	1	5.39853e-12	11436.9	0
0.146214	1	1	1	5.42077e-12	11481.8	0
0.147214	1	1	1	5.44005e-12	11520.4	0
0.148214	1	1	1	5.46049e-12	11561.7	0
0.149214	1	1	1	5.47687e-12	11594.4	0
0.150214	1	1	1	5.49564e-12	11632.4	0
0.151214	1	1	1	5.50944e-12	11659.9	0
0.152214	1	1	1	5.52571e-12	11692.9	0
0.153214	1	1	1	5.53815e-12	11717.9	0
0.154214	1	1	1	5.55196e-12	11746	0
0.155214	1	1	1	5.56323e-12	11769	0
0.156214	1	1	1	5.57481e-12	11792.8	0
0.157214	1	1	1	5.58514e-12	11814.1	0
0.158214	1	1	1	5.59471e-12	11834.1	0
0.159214	1	1	1	5.60433e-12	11854.5	0
0.160214	1	1	1	5.61212e-12	11871.3	0
0.161214	1	1	1	5.62129e-12	11891.2	0
0.162214	1	1	1	5.62755e-12	11905.4	0
0.163214	1	1	1	5.6365e-12	11925.4	0
0.164214	1	1	1	5.64148e-12	11937.4	0
0.165214	1	1	1	5.64974e-12	11956.7	0
0.166214	1	1	1	5.6544e-12	11968.7	0
0.167214	1	1	1	5.66173e-12	11986.6	0
0.168214	1	1	1	5.66676e-12	12000.1	0
0.169214	1	1	1	5.67349e-12	12017.4	0
0.170214	1	1	1	5.67942e-12	12033.5	0
0.171214	1	1	1	5.68582e-12	12051	0
0.172214	1	1	1	5.6925e-12	12069.3	0
0.173214	1	1	1	5.69851e-12	12086.6	0
0.174214	1	1	1	5.70607e-12	12107.5	0
0.175214	1	1	1	5.71178e-12	12124.9	0
0.176214	1	1	1	5.72031e-12	12148.6	0
0.177214	1	1	1	5.72579e-12	12166.1	0
0.178214	1	1	1	5.73514e-12	12192.2	0
0.179214	1	1	1	5.74062e-12	12210.4	0
0.180214	1	1	1	5.74978e-12	12236.7	0
0.181214	1	1	1	5.75628e-12	12257.7	0
0.182214	1	1	1	5.76522e-12	12284.1	0
0.183214	1	1	1	5.77271e-12	12307.7	0
0.184214	1	1	1	5.78136e-12	12334.1	0
0.185214	1	1	1	5.78979e-12	12360.2	0
0.186214	1	1	1	5.79803e-12	12386.2	0
0.187214	1	1	1	5.8073e-12	12414.5	0
0.188214	1	1	1	5.81526e-12	12440.3	0
0.189214	1	1	1	5.82564e-12	12471.4	0
0.190214	1	1	1	5.83295e-12	12496.2	0
0.191214	1	1	1	5.84386e-12	12528.7	0
