% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	1	0	3.64043e-12	7674.71	0
0.000214285	1	2	0	3.77988e-11	79686.9	0
0.000214285	1	3	0	5.63585e-13	1188.14	0
0.000214285	1	4	0	7.02677e-12	14813.7	0
0.000214285	1	5	0	1.32905e-09	2.80189e+06	0
0.000214285	1	6	0	3.33097e-11	70223.1	0
0.000214285	1	7	0	1.08751e-09	2.29268e+06	0
0.000214285	1	8	0	4.92047e-10	1.03733e+06	0
0.000214285	1	9	0	1.04621e-11	22056	0
0.000214285	1	10	0	9.72302e-12	20497.9	0
0.00121428	1	1	0	5.38998e-12	11752.4	0
0.00121428	1	2	0	1.85886e-11	39112.9	0
0.00121428	1	3	0	6.62113e-13	1362.48	0
0.00121428	1	4	0	3.84112e-12	8281.02	0
0.00121428	1	5	0	2.38516e-09	5.1072e+06	0
0.00121428	1	6	0	1.74935e-11	37141.1	0
0.00121428	1	7	0	1.36717e-09	3.00644e+06	0
0.00121428	1	8	0	5.45171e-10	1.17102e+06	0
0.00121428	1	9	0	7.74184e-12	16852.7	0
0.00121428	1	10	0	2.36123e-11	49840.9	0
0.00221428	1	1	0	5.3804e-12	11729.4	0
0.00221428	1	2	0	1.8666e-11	39157.4	0
0.00221428	1	3	0	6.51687e-13	1342.91	0
0.00221428	1	4	0	3.84601e-12	8295.38	0
0.00221428	1	5	0	2.39984e-09	5.14053e+06	0
0.00221428	1	6	0	1.72709e-11	36696.8	0
0.00221428	1	7	0	1.36165e-09	2.9945e+06	0
0.00221428	1	8	0	5.35075e-10	1.14915e+06	0
0.00221428	1	9	0	7.63346e-12	16625.1	0
0.00221428	1	10	0	2.38483e-11	50430.2	0
0.00321428	1	1	0	5.37113e-12	11707	0
0.00321428	1	2	0	1.87602e-11	39237.3	0
0.00321428	1	3	0	6.41092e-13	1322.92	0
0.00321428	1	4	0	3.8449e-12	8296.84	0
0.00321428	1	5	0	2.41359e-09	5.17145e+06	0
0.00321428	1	6	0	1.70461e-11	36248.3	0
0.00321428	1	7	0	1.35603e-09	2.98232e+06	0
0.00321428	1	8	0	5.24689e-10	1.12666e+06	0
0.00321428	1	9	0	7.51911e-12	16384.5	0
0.00321428	1	10	0	2.40835e-11	51013.3	0
0.00421428	1	1	0	5.35995e-12	11680.2	0
0.00421428	1	2	0	1.88727e-11	39356	0
0.00421428	1	3	0	6.30288e-13	1302.45	0
0.00421428	1	4	0	3.84395e-12	8298.64	0
0.00421428	1	5	0	2.42637e-09	5.19985e+06	0
0.00421428	1	6	0	1.68087e-11	35773	0
0.00421428	1	7	0	1.34829e-09	2.96545e+06	0
0.00421428	1	8	0	5.14107e-10	1.10377e+06	0
0.00421428	1	9	0	7.40635e-12	16147.1	0
0.00421428	1	10	0	2.43217e-11	51598	0
0.00521428	1	1	0	5.34818e-12	11651.9	0
0.00521428	1	2	0	1.90075e-11	39521.9	0
0.00521428	1	3	0	6.192e-13	1281.33	0
0.00521428	1	4	0	3.83638e-12	8286.2	0
0.00521428	1	5	0	2.43746e-09	5.22421e+06	0
0.00521428	1	6	0	1.65753e-11	35306.4	0
0.00521428	1	7	0	1.34046e-09	2.94837e+06	0
0.00521428	1	8	0	5.03436e-10	1.0807e+06	0
0.00521428	1	9	0	7.29013e-12	15902	0
0.00521428	1	10	0	2.45517e-11	52160.5	0
0.00621428	1	1	0	5.33527e-12	11621	0
0.00621428	1	2	0	1.91557e-11	39717.4	0
0.00621428	1	3	0	6.08171e-13	1260.26	0
0.00621428	1	4	0	3.82874e-12	8273.59	0
0.00621428	1	5	0	2.44808e-09	5.24714e+06	0
0.00621428	1	6	0	1.63262e-11	34806.4	0
0.00621428	1	7	0	1.33087e-09	2.92739e+06	0
0.00621428	1	8	0	4.925e-10	1.05708e+06	0
0.00621428	1	9	0	7.17452e-12	15657.9	0
0.00621428	1	10	0	2.47883e-11	52732.6	0
0.00721428	1	1	0	5.32086e-12	11586.6	0
