% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
6721	1	2	5	0	28	2196	0	1	0
6725	1	5	3	0	28	2196	0	1	0
6726	1	3	1	0	28	2196	0	1	0
6733	1	5	3	0	28	2196	0	1	0
6801	1	2	5	0	28	2196	0	1	0
6810	1	1	4	0	28	2196	0	1	0
6811	1	4	2	0	28	2196	0	1	0
6887	1	1	4	0	28	2196	0	1	0
6898	1	5	3	0	28	2196	0	1	0
6904	1	4	2	0	28	2196	0	1	0
6969	1	1	4	0	28	2196	0	1	0
6988	1	5	3	0	28	2196	0	1	0
6990	1	2	5	0	28	2196	0	1	0
6993	1	5	3	0	28	2196	0	1	0
7029	1	4	2	0	28	2196	0	1	0
7051	1	5	3	0	28	2196	0	1	0
7090	1	1	4	0	28	2196	0	1	0
7150	1	4	2	0	28	2196	0	1	0
7211	1	5	3	0	28	2196	0	1	0
7256	1	2	5	0	28	2196	0	1	0
7274	1	5	3	0	28	2196	0	1	0
7276	1	1	4	0	28	2196	0	1	0
7327	1	4	2	0	28	2196	0	1	0
7375	1	3	1	0	28	2196	0	1	0
7426	1	5	3	0	28	2196	0	1	0
7433	1	4	2	0	28	2196	0	1	0
7443	1	1	4	0	28	2196	0	1	0
7497	1	3	1	0	28	2196	0	1	0
7502	1	2	5	0	28	2196	0	1	0
7611	1	2	5	0	28	2196	0	1	0
7644	1	5	3	0	28	2196	0	1	0
7655	1	3	1	0	28	2196	0	1	0
7659	1	2	5	0	28	2196	0	1	0
7823	1	5	3	0	28	2196	0	1	0
7846	1	2	5	0	28	2196	0	1	0
7865	1	1	4	0	28	2196	0	1	0
7894	1	3	1	0	28	2196	0	1	0
8007	1	1	4	0	28	2196	0	1	0
8009	1	4	2	0	28	2196	0	1	0
8015	1	5	3	0	28	2196	0	1	0
8032	1	1	4	0	28	2196	0	1	0
8156	1	2	5	0	28	2196	0	1	0
8172	1	4	2	0	28	2196	0	1	0
8246	1	1	4	0	28	2196	0	1	0
8272	1	3	1	0	28	2196	0	1	0
8310	1	2	5	0	28	2196	0	1	0
