% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	1856.38	0
0.081	1	1	1	1493.87	0
0.121	1	1	1	4649.98	0
0.161	1	1	1	12429.1	0
0.201	1	1	1	8197.52	0
0.241	1	1	1	1982.67	0
0.281	1	1	1	3716.77	0
0.321	1	1	1	4334.49	0
0.361	1	1	1	4604.33	0
0.401	1	1	1	6531.81	0
0.441	1	1	1	3851.98	0
0.481	1	1	1	8245.16	0
0.521	1	1	1	5469.71	0
0.561	1	1	1	2822.25	0
0.601	1	1	1	2857.13	0
0.641	1	1	1	1633.99	0
0.681	1	1	1	12868	0
0.721	1	1	1	20592.6	0
0.761	1	1	1	9319.26	0
0.801	1	1	1	6709.51	0
0.841	1	1	1	4954.3	0
0.881	1	1	1	10563.5	0
0.921	1	1	1	16309	0
0.961	1	1	1	2920.71	0
1.001	1	1	1	2005.4	0
1.041	1	1	1	1272.01	0
1.081	1	1	1	2181.19	0
1.121	1	1	1	3883.52	0
1.161	1	1	1	4262.28	0
1.201	1	1	1	1972	0
1.241	1	1	1	1686.25	0
1.281	1	1	1	4981.12	0
1.321	1	1	1	4244.05	0
1.361	1	1	1	1990.06	0
1.401	1	1	1	1245.86	0
1.441	1	1	1	1541.3	0
1.481	1	1	1	2211.19	0
1.521	1	1	1	4557.55	0
1.561	1	1	1	2921.2	0
1.601	1	1	1	5187.21	0
1.641	1	1	1	2692.89	0
1.681	1	1	1	4411.37	0
1.721	1	1	1	24564.2	0
1.761	1	1	1	13079.6	0
1.801	1	1	1	2950.6	0
1.841	1	1	1	4268.33	0
1.881	1	1	1	1544.3	0
1.921	1	1	1	1349.78	0
1.961	1	1	1	2186.19	0
2.001	1	1	1	3379.4	0
2.041	1	1	1	5742.69	0
2.081	1	1	1	2971.16	0
2.121	1	1	1	10447.2	0
2.161	1	1	1	2889.21	0
2.201	1	1	1	3375.92	0
2.241	1	1	1	3620.49	0
2.281	1	1	1	2391.02	0
2.321	1	1	1	12098.6	0
2.361	1	1	1	40388.1	0
2.401	1	1	1	1268.89	0
2.441	1	1	1	4676.29	0
2.481	1	1	1	7366.37	0
2.521	1	1	1	9530.99	0
2.561	1	1	1	6302.75	0
2.601	1	1	1	2332.14	0
2.641	1	1	1	1548.21	0
2.681	1	1	1	2934.05	0
2.721	1	1	1	9477.33	0
2.761	1	1	1	3365.89	0
2.801	1	1	1	1190.83	0
2.841	1	1	1	6251.11	0
2.881	1	1	1	4905.49	0
2.921	1	1	1	4632.62	0
2.961	1	1	1	6321.05	0
3.001	1	1	1	4243.62	0
3.041	1	1	1	16285.7	0
3.081	1	1	1	37141.7	0
3.121	1	1	1	16099.2	0
3.161	1	1	1	3582.1	0
3.201	1	1	1	6289.73	0
3.241	1	1	1	2184.16	0
3.281	1	1	1	3975.96	0
3.321	1	1	1	6878.31	0
3.361	1	1	1	5817.76	0
3.401	1	1	1	2015.14	0
3.441	1	1	1	1241.09	0
3.481	1	1	1	3663.98	0
3.521	1	1	1	15731.5	0
3.561	1	1	1	5645.85	0
3.601	1	1	1	2814.13	0
3.641	1	1	1	1513.04	0
3.681	1	1	1	1806.24	0
3.721	1	1	1	2240.39	0
3.761	1	1	1	793.274	0
3.801	1	1	1	1038.39	0
3.841	1	1	1	1306.31	0
3.881	1	1	1	1556.99	0
3.921	1	1	1	2061.92	0
3.961	1	1	1	3072.87	0
4.001	1	1	1	1442.75	0
4.041	1	1	1	378.426	0
4.081	1	1	1	369.511	0
4.121	1	1	1	3672.9	0
4.161	1	1	1	1819.18	0
4.201	1	1	1	1678.74	0
4.241	1	1	1	6760.73	0
4.281	1	1	1	3082.23	0
4.321	1	1	1	5706.24	0
4.361	1	1	1	2738.61	0
4.401	1	1	1	3882.02	0
4.441	1	1	1	21124	0
