% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	9	1	346.885	0
0.042	1	7	2	495.059	0
0.043	1	6	3	180.913	0
0.044	1	2	4	47795.1	0
0.051	1	4	11	2924.88	0
0.052	1	1	12	7447.24	0
0.053	1	10	13	84.1208	0
0.054	1	3	14	20165.9	0
0.057	1	5	17	30.0399	0
0.058	1	8	18	570.126	0
0.081	1	9	1	461.214	0
0.082	1	7	2	1433.73	0
0.083	1	6	3	133.4	0
0.084	1	2	4	98305.4	0
0.091	1	4	11	1911.51	0
0.092	1	1	12	6595.82	0
0.093	1	10	13	421.226	0
0.094	1	3	14	18925.7	0
0.097	1	5	17	184.228	0
0.098	1	8	18	1164.86	0
0.121	1	9	1	239.289	0
0.122	1	7	2	1552.08	0
0.123	1	6	3	132.667	0
0.124	1	2	4	113240	0
0.131	1	4	11	1613.37	0
0.132	1	1	12	1881.82	0
0.133	1	10	13	329.765	0
0.134	1	3	14	6472.33	0
0.137	1	5	17	1093.07	0
0.138	1	8	18	1163.91	0
0.161	1	9	1	165.043	0
0.162	1	7	2	958.102	0
0.163	1	6	3	574.731	0
0.164	1	2	4	115285	0
0.171	1	4	11	1613.91	0
0.172	1	1	12	4170.61	0
0.173	1	10	13	487.145	0
0.174	1	3	14	1694.54	0
0.177	1	5	17	383.94	0
0.178	1	8	18	146.353	0
0.201	1	9	1	216.466	0
0.202	1	7	2	1680.9	0
0.203	1	6	3	594.678	0
0.204	1	2	4	185022	0
0.211	1	4	11	772.51	0
0.212	1	1	12	4353.75	0
0.213	1	10	13	1028.12	0
0.214	1	3	14	1475.18	0
0.217	1	5	17	1489.2	0
0.218	1	8	18	181.371	0
0.241	1	9	1	513.683	0
0.242	1	7	2	1882.87	0
0.243	1	6	3	556.275	0
0.244	1	2	4	143916	0
0.251	1	4	11	1798.5	0
0.252	1	1	12	2057.02	0
0.253	1	10	13	265.072	0
0.254	1	3	14	1721.88	0
0.257	1	5	17	2470.7	0
0.258	1	8	18	376.135	0
0.281	1	9	1	809.515	0
0.282	1	7	2	2170.71	0
0.283	1	6	3	1237.86	0
0.284	1	2	4	110820	0
0.291	1	4	11	1850.17	0
0.292	1	1	12	9908.1	0
0.293	1	10	13	210.442	0
0.294	1	3	14	2598.53	0
0.297	1	5	17	1780.02	0
0.298	1	8	18	199.042	0
0.321	1	9	1	518.283	0
0.322	1	7	2	1163.93	0
0.323	1	6	3	496.946	0
0.324	1	2	4	243053	0
0.331	1	4	11	830.457	0
0.332	1	1	12	6243.05	0
0.333	1	10	13	61.2517	0
0.334	1	3	14	7250.7	0
0.337	1	5	17	1080.57	0
0.338	1	8	18	257.186	0
0.361	1	9	1	296.15	0
0.362	1	7	2	2209.78	0
0.363	1	6	3	149.916	0
0.364	1	2	4	130964	0
0.371	1	4	11	1058.25	0
0.372	1	1	12	4885.18	0
0.373	1	10	13	215.689	0
0.374	1	3	14	5501.96	0
0.377	1	5	17	243.428	0
0.378	1	8	18	354.197	0
0.401	1	9	1	453.125	0
0.402	1	7	2	3450.39	0
0.403	1	6	3	397.518	0
0.404	1	2	4	66944.9	0
0.411	1	4	11	1055.15	0
0.412	1	1	12	9573.29	0
0.413	1	10	13	1203.11	0
0.414	1	3	14	6795	0
0.417	1	5	17	1118.29	0
0.418	1	8	18	479.07	0
0.441	1	9	1	496.736	0
0.442	1	7	2	1443.17	0
0.443	1	6	3	296.533	0
0.444	1	2	4	57777.2	0
0.451	1	4	11	1202.49	0
0.452	1	1	12	5491.57	0
0.453	1	10	13	1504.74	0
0.454	1	3	14	21010.2	0
0.457	1	5	17	1607.22	0
0.458	1	8	18	646.664	0
0.481	1	9	1	691.037	0
0.482	1	7	2	1517.84	0
0.483	1	6	3	164.437	0
0.484	1	2	4	49593.5	0
0.491	1	4	11	908.002	0
0.492	1	1	12	3091.74	0
0.493	1	10	13	1630.63	0
0.494	1	3	14	14799.2	0
0.497	1	5	17	364.39	0
0.498	1	8	18	326.557	0
0.521	1	9	1	1642.78	0
0.522	1	7	2	1003.72	0
0.523	1	6	3	2269.91	0
0.524	1	2	4	30856.2	0
0.531	1	4	11	3300.11	0
0.532	1	1	12	8535.85	0
0.533	1	10	13	674.379	0
