% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
176	1	8	2	0	28	2196	0	1	0
197	1	1	9	0	28	2196	0	1	0
249	1	6	1	0	28	2196	0	1	0
277	1	1	9	0	28	2196	0	1	0
318	1	9	14	0	28	2196	0	1	0
324	1	3	8	0	28	2196	0	1	0
342	1	4	4	0	24	1620	0	1	0
385	1	8	2	0	28	2196	0	1	0
394	1	7	10	0	28	2196	0	1	0
395	1	5	7	0	6	309	0	1	0
432	1	5	7	0	22	1383	0	1	0
446	1	10	3	0	28	2196	0	1	0
449	1	8	2	0	28	2196	0	1	0
457	1	2	13	0	18	967	0	1	0
470	1	2	13	0	24	1620	0	1	0
517	1	9	14	0	28	2196	0	1	0
528	1	7	10	0	28	2196	0	1	0
538	1	4	4	0	28	2196	0	1	0
548	1	2	13	0	24	1620	0	1	0
552	1	6	1	0	28	2196	0	1	0
618	1	7	10	0	28	2196	0	1	0
626	1	1	9	0	28	2196	0	1	0
633	1	2	13	0	24	1620	0	1	0
649	1	4	4	0	28	2196	0	1	0
669	1	4	4	0	24	1620	0	1	0
722	1	10	3	0	28	2196	0	1	0
768	1	6	1	0	28	2196	0	1	0
820	1	5	7	0	20	1191	0	1	0
832	1	8	2	0	28	2196	0	1	0
835	1	1	9	0	28	2196	0	1	0
869	1	7	10	0	28	2196	0	1	0
878	1	3	8	0	28	2196	0	1	0
883	1	2	13	0	24	1620	0	1	0
894	1	9	14	0	28	2196	0	1	0
922	1	6	1	0	28	2196	0	1	0
923	1	1	9	0	28	2196	0	1	0
924	1	2	13	0	22	1383	0	1	0
931	1	10	3	0	28	2196	0	1	0
937	1	7	10	0	28	2196	0	1	0
1039	1	8	2	0	28	2196	0	1	0
1047	1	10	3	0	28	2196	0	1	0
1055	1	5	7	0	22	1383	0	1	0
1086	1	3	8	0	20	1191	0	1	0
1090	1	4	4	0	22	1383	0	1	0
1103	1	4	4	0	28	2196	0	1	0
1116	1	10	3	0	28	2196	0	1	0
1134	1	8	2	0	28	2196	0	1	0
1138	1	2	13	0	20	1191	0	1	0
1140	1	1	9	0	28	2196	0	1	0
