% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	14076.2	0
0.042	1	8	2	71625.2	0
0.043	1	3	3	170.64	0
0.044	1	4	4	3904.93	0
0.049	1	6	9	24110	0
0.05	1	7	10	4843.7	0
0.051	1	9	11	99.6735	0
0.052	1	5	12	7596.74	0
0.055	1	2	15	265.636	0
0.056	1	10	16	2131.34	0
0.081	1	1	1	5899.13	0
0.082	1	8	2	40463.1	0
0.083	1	3	3	568.448	0
0.084	1	4	4	3438.09	0
0.089	1	6	9	16447.7	0
0.09	1	7	10	827.443	0
0.091	1	9	11	244.739	0
0.092	1	5	12	17133.9	0
0.095	1	2	15	60.2964	0
0.096	1	10	16	2894.13	0
0.121	1	1	1	7339.65	0
0.122	1	8	2	31785.1	0
0.123	1	3	3	1068.87	0
0.124	1	4	4	2630.98	0
0.129	1	6	9	10700	0
0.13	1	7	10	5481.59	0
0.131	1	9	11	268.321	0
0.132	1	5	12	13392.8	0
0.135	1	2	15	776.099	0
0.136	1	10	16	1896.24	0
0.161	1	1	1	6089.78	0
0.162	1	8	2	7493.16	0
0.163	1	3	3	557.715	0
0.164	1	4	4	4215.47	0
0.169	1	6	9	20852.4	0
0.17	1	7	10	13469.9	0
0.171	1	9	11	211.413	0
0.172	1	5	12	8392.61	0
0.175	1	2	15	757.68	0
0.176	1	10	16	4106.15	0
0.201	1	1	1	3115.51	0
0.202	1	8	2	21220.6	0
0.203	1	3	3	311.291	0
0.204	1	4	4	2066.9	0
0.209	1	6	9	30417.2	0
0.21	1	7	10	6776.35	0
0.211	1	9	11	219.466	0
0.212	1	5	12	6085.91	0
0.215	1	2	15	739.873	0
0.216	1	10	16	4535.14	0
0.241	1	1	1	2195.2	0
0.242	1	8	2	50959.5	0
0.243	1	3	3	192.116	0
0.244	1	4	4	1926.98	0
0.249	1	6	9	9821.39	0
0.25	1	7	10	4931.29	0
0.251	1	9	11	822.677	0
0.252	1	5	12	1902.53	0
0.255	1	2	15	157.693	0
0.256	1	10	16	8582.28	0
0.281	1	1	1	1368.45	0
0.282	1	8	2	19844	0
0.283	1	3	3	193.443	0
0.284	1	4	4	2687.55	0
0.289	1	6	9	14915.1	0
0.29	1	7	10	5465.42	0
0.291	1	9	11	1539.05	0
0.292	1	5	12	1158.32	0
0.295	1	2	15	99.0824	0
0.296	1	10	16	11670.5	0
0.321	1	1	1	1303.27	0
0.322	1	8	2	57822.8	0
0.323	1	3	3	996.096	0
0.324	1	4	4	1682.66	0
0.329	1	6	9	29959.2	0
0.33	1	7	10	5903.87	0
0.331	1	9	11	869.496	0
0.332	1	5	12	5777.61	0
0.335	1	2	15	78.9914	0
0.336	1	10	16	4917.82	0
0.361	1	1	1	4339.63	0
0.362	1	8	2	39033.8	0
0.363	1	3	3	655.996	0
0.364	1	4	4	2079.74	0
0.369	1	6	9	29201.2	0
0.37	1	7	10	2831.53	0
0.371	1	9	11	1482.36	0
0.372	1	5	12	10169.3	0
0.375	1	2	15	62.871	0
0.376	1	10	16	9250.17	0
0.401	1	1	1	12014.6	0
0.402	1	8	2	90383.2	0
0.403	1	3	3	698.614	0
0.404	1	4	4	1952.38	0
0.409	1	6	9	14925.5	0
0.41	1	7	10	1818.83	0
0.411	1	9	11	987.545	0
0.412	1	5	12	13437.3	0
0.415	1	2	15	178.346	0
0.416	1	10	16	12409.8	0
0.441	1	1	1	2552.12	0
0.442	1	8	2	182595	0
