% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	14747.3	0
0.081	1	1	1	9985.35	0
0.121	1	1	1	15909.9	0
0.161	1	1	1	28935.7	0
0.201	1	1	1	3269.02	0
0.241	1	1	1	9392.02	0
0.281	1	1	1	13266.4	0
0.321	1	1	1	2406.47	0
0.361	1	1	1	3380.9	0
0.401	1	1	1	5150.88	0
0.441	1	1	1	9888.09	0
0.481	1	1	1	4791.58	0
0.521	1	1	1	2253.53	0
0.561	1	1	1	1785.17	0
0.601	1	1	1	710.994	0
0.641	1	1	1	853.265	0
0.681	1	1	1	602.88	0
0.721	1	1	1	2959.62	0
0.761	1	1	1	4140.32	0
0.801	1	1	1	4573.63	0
0.841	1	1	1	5118.56	0
0.881	1	1	1	2545.1	0
0.921	1	1	1	9762.42	0
0.961	1	1	1	5896.86	0
1.001	1	1	1	5768.29	0
1.041	1	1	1	2454.41	0
1.081	1	1	1	4254.71	0
1.121	1	1	1	9991.29	0
1.161	1	1	1	7535.31	0
1.201	1	1	1	6113.66	0
1.241	1	1	1	5904.46	0
1.281	1	1	1	4501.65	0
1.321	1	1	1	9104.56	0
1.361	1	1	1	10117	0
1.401	1	1	1	5638.04	0
1.441	1	1	1	11365.8	0
1.481	1	1	1	15152.2	0
1.521	1	1	1	5219.02	0
1.561	1	1	1	699.364	0
1.601	1	1	1	1679.96	0
1.641	1	1	1	3223.86	0
1.681	1	1	1	1582.05	0
1.721	1	1	1	1671.71	0
1.761	1	1	1	4534.43	0
1.801	1	1	1	1362.39	0
1.841	1	1	1	6358.12	0
1.881	1	1	1	3449.03	0
1.921	1	1	1	1049.59	0
1.961	1	1	1	3558.98	0
2.001	1	1	1	2143.23	0
2.041	1	1	1	17157.3	0
2.081	1	1	1	24706.1	0
2.121	1	1	1	4215.66	0
2.161	1	1	1	4729.8	0
2.201	1	1	1	7639.14	0
2.241	1	1	1	14233	0
2.281	1	1	1	8337.69	0
2.321	1	1	1	3702.64	0
2.361	1	1	1	14327.9	0
2.401	1	1	1	14246	0
2.441	1	1	1	8031.43	0
2.481	1	1	1	2917.91	0
2.521	1	1	1	5356.22	0
2.561	1	1	1	13870.5	0
2.601	1	1	1	12383.3	0
2.641	1	1	1	1178.78	0
2.681	1	1	1	3211.45	0
2.721	1	1	1	12691.5	0
2.761	1	1	1	1363.18	0
2.801	1	1	1	2947.91	0
2.841	1	1	1	7897.99	0
2.881	1	1	1	12350.2	0
2.921	1	1	1	3413.02	0
2.961	1	1	1	2173.4	0
3.001	1	1	1	2340.32	0
3.041	1	1	1	2263.36	0
3.081	1	1	1	10843.6	0
3.121	1	1	1	3534.91	0
3.161	1	1	1	8541.26	0
3.201	1	1	1	6975.29	0
3.241	1	1	1	3837.49	0
3.281	1	1	1	3872.67	0
3.321	1	1	1	1212.2	0
3.361	1	1	1	1048.63	0
3.401	1	1	1	2928.21	0
3.441	1	1	1	4803.48	0
3.481	1	1	1	6785.41	0
3.521	1	1	1	3220.73	0
3.561	1	1	1	1224.61	0
3.601	1	1	1	2863.34	0
