% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	9295.72	0
0.081	1	1	1	7050.55	0
0.121	1	1	1	26858.5	0
0.161	1	1	1	15185.2	0
0.201	1	1	1	2199.75	0
0.241	1	1	1	1043.21	0
0.281	1	1	1	4029.93	0
0.321	1	1	1	1785.28	0
0.361	1	1	1	2027.7	0
0.401	1	1	1	4347.45	0
0.441	1	1	1	2806.27	0
0.481	1	1	1	6034.7	0
0.521	1	1	1	591.454	0
0.561	1	1	1	3881.05	0
0.601	1	1	1	11179	0
0.641	1	1	1	3176.27	0
0.681	1	1	1	3423.37	0
0.721	1	1	1	6274.33	0
0.761	1	1	1	3032.83	0
0.801	1	1	1	4681.14	0
0.841	1	1	1	10765.1	0
0.881	1	1	1	10781.3	0
0.921	1	1	1	12325.9	0
0.961	1	1	1	5707.77	0
1.001	1	1	1	4100.68	0
1.041	1	1	1	2709.64	0
1.081	1	1	1	13185.4	0
1.121	1	1	1	5465.46	0
1.161	1	1	1	1816.99	0
1.201	1	1	1	2343.45	0
1.241	1	1	1	9821.43	0
1.281	1	1	1	16396.8	0
1.321	1	1	1	5027.18	0
1.361	1	1	1	6586.34	0
1.401	1	1	1	5775.48	0
1.441	1	1	1	7430.07	0
1.481	1	1	1	4200.25	0
1.521	1	1	1	3349.89	0
1.561	1	1	1	6706.11	0
1.601	1	1	1	9557.84	0
1.641	1	1	1	7144.34	0
1.681	1	1	1	3407.6	0
1.721	1	1	1	1216.04	0
1.761	1	1	1	1534.85	0
1.801	1	1	1	898.164	0
1.841	1	1	1	7815.2	0
1.881	1	1	1	4801.15	0
1.921	1	1	1	1039.06	0
1.961	1	1	1	3308.88	0
2.001	1	1	1	23038.5	0
2.041	1	1	1	20094.4	0
2.081	1	1	1	1511.3	0
2.121	1	1	1	10253.8	0
2.161	1	1	1	3562.51	0
2.201	1	1	1	2607.87	0
2.241	1	1	1	2416.28	0
2.281	1	1	1	2052.53	0
2.321	1	1	1	16574.9	0
2.361	1	1	1	4289.83	0
2.401	1	1	1	1811.45	0
2.441	1	1	1	7239.45	0
2.481	1	1	1	2247.6	0
